EXCHANGE%3DNYSE,,,,,
MARKET_OPEN_MINUTE=570,,,,,
MARKET_CLOSE_MINUTE=960,,,,,
INTERVAL=600,,,,,
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=,,,,,
TIMEZONE_OFFSET=-240,,,,,
869,170.86,170.86,170.33,170.65,26748
870,170.59,170.99,170.52,170.9,30695
871,170.45,170.74,170.35,170.61,44985
872,170.16,170.63,170.08,170.44,29202
873,169.87,170.2789,169.72,170.155,44739
874,169.655,169.91,169.55,169.82,20485
875,169.16,169.7399,169.07,169.61,39188
876,168.99,169.23,168.91,169.17,34980
877,168.95,169.04,168.91,169,33856
878,168.77,168.92,168.67,168.92,40611
879,168.92,169.02,168.64,168.725,53042
880,168.9125,169.07,168.86,168.93,41593
881,168.95,168.96,168.86,168.93,39417
882,169.4,169.61,168.62,168.95,67114
883,169.42,169.49,169.04,169.4,72937
884,169.77,169.86,169.35,169.45,177832
885,166.95,166.95,166.95,166.95,6000
886,169.095,170.31,167.83,170.31,70836
887,168.43,169.075,168.32,169,33797
888,167.64,168.53,167.29,168.39,68817
889,166.68,167.65,166.61,167.63,115928
890,166.34,166.82,165.96,166.68,54921
891,167.12,167.14,166.22,166.23,41397
892,167.255,167.52,166.88,167.06,27970
893,167.005,167.41,166.64,167.24,46505
894,166.7782,167.065,166.61,167.0499,27746
895,166.745,166.94,166.4,166.75,50037
896,166.825,167.155,166.52,166.79,51530
897,167.46,168.04,166.86,166.94,55295
898,167.36,167.6,166.82,167.39,42857
899,167.255,167.5599,167.04,167.3,79279
900,167.315,167.825,167.125,167.32,28226
901,167.73,168.05,167.2,167.339,32235
902,167.806,168.02,167.65,167.82,23746
903,167.737,167.805,167.4,167.805,45645
a1517582400,168.27,168.52,167.63,167.745,19818
1,168.24,168.436,167.82,168.24,10225
2,168.18,168.27,167.81,168.17,7933
3,167.86,168.192,167.86,168.14,11440
4,167.98,168.15,167.91,167.915,15019
5,167.7701,168,167.7701,167.98,10152
6,167.52,167.81,167.52,167.81,7609
